State,Country,Last Update,Confirmed,Deaths,Recovered,Date,Latitude,Longitude,Suspected,Discarded,Excluded
"Campo Grande, MS",Brazil,,0,0,0,02-28-2020,,,8,2,2
"Campo Grande, MS",Brazil,,0,0,0,03-02-2020,,,8,3,3
"Campo Grande, MS",Brazil,,0,0,0,03-03-2020,,,10,3,3
"Campo Grande, MS",Brazil,,0,0,0,03-04-2020,,,10,3,2
"Campo Grande, MS",Brazil,,0,0,0,03-05-2020,,,5,8,2
"Campo Grande, MS",Brazil,,0,0,0,03-06-2020,,,6,9,2
"Campo Grande, MS",Brazil,,0,0,0,03-09-2020,,,4,12,2
"Campo Grande, MS",Brazil,,0,0,0,03-10-2020,,,4,,
"Campo Grande, MS",Brazil,,0,0,0,03-11-2020,,,4,,
"Campo Grande, MS",Brazil,,0,0,0,03-12-2020,,,6,,
"Campo Grande, MS",Brazil,,0,0,0,03-13-2020,,,10,,
"Campo Grande, MS",Brazil,,2,0,0,03-14-2020,,,0,,
"Campo Grande, MS",Brazil,,2,0,0,03-15-2020,,,1,,
"Campo Grande, MS",Brazil,,4,0,0,03-16-2020,,,29,,
"Campo Grande, MS",Brazil,,6,0,0,03-17-2020,,,,,
"Campo Grande, MS",Brazil,,7,0,0,03-18-2020,,,,,
"Campo Grande, MS",Brazil,,8,0,0,03-19-2020,,,,,
"Campo Grande, MS",Brazil,,11,0,0,03-20-2020,,,,,
"Campo Grande, MS",Brazil,,14,0,0,03-21-2020,,,,,
"Campo Grande, MS",Brazil,,19,0,0,03-22-2020,,,,,
"Campo Grande, MS",Brazil,,19,0,0,03-23-2020,,,,,
"Campo Grande, MS",Brazil,,22,0,0,03-24-2020,,,,,
